State_name	Name	State_name-Name	Rainfall (inches)	RainDays	Runoff	Station Name	Ptrecipitation Correction Factor	No. of Rain Days Correction Factor	Rmean	Kmean	LSavg	Cavg	Pavg
Alabama	Autauga	Alabama-Autauga	60	87.3	19	0 Default	0.814	0.424	374.7	0.20	0.29	0.14	0.99
Alabama	Baldwin	Alabama-Baldwin	60	104.4	25.875	AK ANCHORAGE WSCMO AP	0.620	0.209	550.0	0.21	0.18	0.20	0.99
Alabama	Barbour	Alabama-Barbour	60	89.2	18	AK ANNETTE WSO AIRPORT	0.919	0.570	376.7	0.19	0.56	0.15	0.94
Alabama	Bibb	Alabama-Bibb	60	97.8	21	AK COLD BAY WSO AIRPORT	0.685	0.217	375.0	0.25	1.09	0.05	0.99
Alabama	Blount	Alabama-Blount	60	95.5	24	AK FAIRBANKS WSO AIRPOR	0.493	0.124	325.0	0.26	0.77	0.10	0.96
Alabama	Bullock	Alabama-Bullock	60	97.2	18	AK KING SALMON WSO AP	0.592	0.190	375.0	0.25	0.36	0.05	0.96
Alabama	Butler	Alabama-Butler	60	97.8	18	AK MCGRATH WSO AIRPORT	0.600	0.185	425.0	0.24	0.43	0.10	0.95
Alabama	Calhoun	Alabama-Calhoun	60	97.8	23	AK ST PAUL ISLAND WSO A	0.570	0.253	325.0	0.27	0.36	0.15	1.00
Alabama	Chambers	Alabama-Chambers	60	97.8	20	AK YAKUTAT WSO AIRPORT	0.947	0.708	346.8	0.21	0.85	0.02	1.00
Alabama	Cherokee	Alabama-Cherokee	60	100.8	22.75	AL ABBEVILLE 1 NNW	0.913	0.585	300.0	0.29	0.56	0.20	0.85
Alabama	Chilton	Alabama-Chilton	60	90.4	20	AL BIRMINGHAM FAA ARPT	0.916	0.550	374.9	0.24	0.44	0.10	0.94
Alabama	Choctaw	Alabama-Choctaw	60	96.3	22	AL DADEVILLE 2	0.896	0.558	425.0	0.27	0.52	0.03	0.97
Alabama	Clarke	Alabama-Clarke	60	98.4	19	AL HALEYVILLE	0.923	0.591	450.0	0.27	0.30	0.08	1.00
Alabama	Clay	Alabama-Clay	60	98.3	26.333	AL HUNTSVILLE WSO AP	0.935	0.541	350.0	0.20	0.62	0.02	1.00
Alabama	Cleburne	Alabama-Cleburne	60	97.3	21.333	AL JACKSONVILLE	0.911	0.600	325.0	0.30	0.55	0.06	0.96
Alabama	Coffee	Alabama-Coffee	60	99.7	20	AL MOBILE WSO ARPT	0.941	0.547	450.0	0.18	0.38	0.14	0.84
Alabama	Colbert	Alabama-Colbert	60	97.8	24.5	AL MONTGOMERY WSO ARPT	0.937	0.564	300.0	0.29	0.33	0.23	0.99
Alabama	Conecuh	Alabama-Conecuh	60	93.3	20	AL THOMASVILLE	0.910	0.586	449.8	0.21	0.30	0.14	0.91
Alabama	Coosa	Alabama-Coosa	60	97.8	24	AL TUSCALOOSA OLIVER DA	0.930	0.611	350.3	0.20	0.54	0.03	0.99
Alabama	Covington	Alabama-Covington	60	100	21	AR ALUM FORK	0.911	0.596	474.7	0.20	0.36	0.09	0.93
Alabama	Crenshaw	Alabama-Crenshaw	60	97.8	18	AR BATESVILLE LIVESTOCK	0.929	0.632	425.0	0.19	0.36	0.15	0.90
Alabama	Cullman	Alabama-Cullman	60	101.7	24	AR BULL SHOALS DAM	0.879	0.537	325.0	0.25	0.65	0.06	0.96
Alabama	Dale	Alabama-Dale	60	97.8	20	AR CLARKSVILLE 6 NE	0.904	0.556	424.9	0.17	0.42	0.19	0.86
Alabama	Dallas	Alabama-Dallas	60	96.4	18	AR EUREKA SPRINGS 3 WNW	0.917	0.555	399.9	0.25	0.21	0.12	1.00
Alabama	De Kalb	Alabama-De Kalb	60	115	26.333	AR FORT SMITH WSO AIRPO	0.920	0.515	300.0	0.24	0.62	0.15	0.91
Alabama	Elmore	Alabama-Elmore	60	97.8	19	AR MENA	0.922	0.570	375.0	0.23	0.29	0.18	0.93
Alabama	Escambia	Alabama-Escambia	60	93.3	23	AR MILLWOOD DAM	0.931	0.599	525.0	0.20	0.22	0.19	0.90
Alabama	Etowah	Alabama-Etowah	60	96.9	24	AR MONTICELLO 3 SW	0.905	0.571	325.0	0.27	0.37	0.09	0.96
Alabama	Fayette	Alabama-Fayette	60	98.5	22	AR STUTTGART 9 ESE	0.897	0.553	350.0	0.29	0.60	0.11	0.95
Alabama	Franklin	Alabama-Franklin	60	97.8	24	AZ AJO	0.754	0.406	323.4	0.22	0.43	0.07	0.98
Alabama	Geneva	Alabama-Geneva	60	98.2	21.333	AZ COCHISE 4 SSE	0.709	0.342	450.0	0.19	0.37	0.19	0.88
Alabama	Greene	Alabama-Greene	60	97.5	20	AZ FLAGSTAFF AP	0.836	0.388	373.8	0.29	0.23	0.04	1.00
Alabama	Hale	Alabama-Hale	60	97.2	20	AZ KEAMS CANYON	0.587	0.276	372.3	0.27	0.26	0.04	0.98
Alabama	Henry	Alabama-Henry	60	89	18	AZ PAYSON	0.785	0.411	400.0	0.17	0.42	0.22	0.90
Alabama	Houston	Alabama-Houston	60	97.8	20	AZ PHOENIX AIRPORT	0.808	0.346	424.8	0.18	0.27	0.21	0.90
Alabama	Jackson	Alabama-Jackson	60	108.8	28	AZ TUCSON WSO AP	0.787	0.324	275.0	0.24	0.24	0.15	0.98
Alabama	Jefferson	Alabama-Jefferson	60	98.3	27	AZ TUWEEP	0.682	0.344	350.0	0.28	0.67	0.02	1.00
Alabama	Lamar	Alabama-Lamar	60	97.8	22	AZ WHITERIVER 1 SW	0.755	0.385	350.0	0.21	0.56	0.05	0.99
Alabama	Lauderdale	Alabama-Lauderdale	60	103.3	24.5	AZ YUMA WSO AP	0.738	0.253	300.0	0.33	0.38	0.16	0.98
Alabama	Lawrence	Alabama-Lawrence	60	110.2	24.5	CA BAKERSFIELD AP	0.698	0.277	300.0	0.32	0.25	0.26	0.96
Alabama	Lee	Alabama-Lee	60	98.7	18	CA BLUE CANYON	0.959	0.640	350.0	0.21	0.49	0.08	0.95
Alabama	Limestone	Alabama-Limestone	60	106.1	23.667	CA EUREKA WFO WOODLEY I	0.869	0.443	275.0	0.36	0.26	0.23	0.99
Alabama	Lowndes	Alabama-Lowndes	60	96.1	18	CA FRESNO AIR TERMINAL	0.816	0.392	400.0	0.29	0.35	0.07	0.99
Alabama	Macon	Alabama-Macon	60	97.8	18	CA LOS ANGELES WSO ARPT	0.899	0.478	350.0	0.23	0.48	0.09	0.99
Alabama	Madison	Alabama-Madison	60	108.2	28	CA SACRAMENTO FAA ARPT	0.874	0.458	275.0	0.31	0.29	0.24	0.97
Alabama	Marengo	Alabama-Marengo	60	96.4	18	CA SAN DIEGO WSO AIRPOR	0.849	0.379	400.0	0.30	0.32	0.02	1.00
Alabama	Marion	Alabama-Marion	60	98.3	23.667	CA SAN FRANCISCO WSO AP	0.869	0.421	325.0	0.27	0.79	0.12	0.95
Alabama	Marshall	Alabama-Marshall	60	97.4	26.6	CA SANTA MARIA WSO ARPT	0.865	0.418	300.0	0.24	0.41	0.11	0.92
Alabama	Mobile	Alabama-Mobile	60	100.2	25.778	CA YOSEMITE PARK HDQTRS	0.902	0.554	549.6	0.17	0.29	0.16	0.98
Alabama	Monroe	Alabama-Monroe	60	92.2	19	CO AKRON 4 E	0.733	0.300	450.0	0.24	0.28	0.16	0.94
Alabama	Montgomery	Alabama-Montgomery	60	97.8	18	CO ALAMOSA WSO AP	0.536	0.147	398.2	0.30	0.24	0.07	1.00
Alabama	Morgan	Alabama-Morgan	60	108.2	25.5	CO BOULDER 2	0.708	0.343	300.0	0.29	0.31	0.10	0.94
Alabama	Perry	Alabama-Perry	60	96.5	20	CO COLORADO SPRINGS WSO	0.759	0.255	375.0	0.28	0.28	0.07	1.00
Alabama	Pickens	Alabama-Pickens	60	93.4	20	CO GRAND JUNCTION WSO A	0.552	0.173	350.0	0.26	0.24	0.13	0.98
Alabama	Pike	Alabama-Pike	60	97.7	18	CO KIM 15 NNE	0.748	0.360	399.9	0.18	0.39	0.20	0.89
Alabama	Randolph	Alabama-Randolph	60	97.8	22	CO NUNN	0.650	0.276	325.0	0.18	1.03	0.03	0.98
Alabama	Russell	Alabama-Russell	58.59	95.9	18	CO PUEBLO WSO AP	0.732	0.252	350.0	0.22	0.40	0.07	0.97
Alabama	Shelby	Alabama-Shelby	60	94.5	24	CO SUGARLOAF RESERVOIR	0.439	0.185	350.0	0.31	0.75	0.05	0.96
Alabama	St. Clair	Alabama-St. Clair	60	97.5	25	CO TELLURIDE 4 WNW	0.629	0.309	350.0	0.30	0.69	0.14	0.98
Alabama	Sumter	Alabama-Sumter	60	96.2	18	CT BRIDGEPORT SIKORSKY	0.890	0.458	375.0	0.29	0.32	0.03	1.00
Alabama	Talladega	Alabama-Talladega	60	97.8	24	CT HARTFORD BRADLEY AP	0.888	0.447	350.0	0.27	0.60	0.08	0.99
Alabama	Tallapoosa	Alabama-Tallapoosa	60	98	20	CT JEWETT CITY	0.880	0.545	350.0	0.21	0.96	0.05	0.99
Alabama	Tuscaloosa	Alabama-Tuscaloosa	60	98.4	23	CT THOMASTON DAM	0.874	0.534	350.0	0.29	0.91	0.02	0.98
Alabama	Walker	Alabama-Walker	60	100.9	26	DE GEORGETOWN 5 SW	0.872	0.541	350.0	0.27	0.68	0.03	0.99
Alabama	Washington	Alabama-Washington	60	98.1	20	DE WILMINGTN NEW CASTLE	0.897	0.461	474.7	0.23	0.47	0.06	1.00
Alabama	Wilcox	Alabama-Wilcox	60	97.6	18	FL DAYTONA BEACH REG AP	0.914	0.483	425.0	0.28	0.24	0.05	1.00
Alabama	Winston	Alabama-Winston	60	100.9	24	FL JACKSONVILLE INTL AP	0.917	0.492	325.0	0.23	0.87	0.10	0.99
Alaska	Aleutians East	Alaska-Aleutians East				FL KEY WEST INTL ARPT	0.879	0.527					
Alaska	Aleutians West	Alaska-Aleutians West				FL MIAMI INTL ARPT	0.894	0.553					
Alaska	Anchorage	Alaska-Anchorage				FL NICEVILLE	0.927	0.613					
Alaska	Bethel	Alaska-Bethel				FL ORTONA LOCK 2	0.918	0.533					
Alaska	Bristol Bay	Alaska-Bristol Bay				FL RAIFORD STATE PRISON	0.888	0.548					
Alaska	Dillingham	Alaska-Dillingham				FL TALLAHASSEE MUNI AP	0.944	0.560					
Alaska	Fairbanks North Star	Alaska-Fairbanks North Star				FL TAMPA INTL ARPT	0.899	0.590					
Alaska	Haines	Alaska-Haines				FL W PALM BEACH INTL AP	0.914	0.468					
Alaska	Juneau	Alaska-Juneau				GA ATHENS MUNI AP	0.917	0.515					
Alaska	Kenai Peninsula	Alaska-Kenai Peninsula				GA ATLANTA HARTSFIELD	0.921	0.515					
Alaska	Ketchikan Gateway	Alaska-Ketchikan Gateway				GA AUGUSTA BUSH FIELD	0.912	0.485					
Alaska	Kodiak Island	Alaska-Kodiak Island				GA CALHOUN EXP STATION	0.901	0.595					
Alaska	Lake and Peninsula	Alaska-Lake and Peninsula				GA COLUMBUS METRO AP	0.922	0.515					
Alaska	Matanuska-Susitna	Alaska-Matanuska-Susitna				GA DAHLONEGA 3 NNW	0.936	0.624					
Alaska	Nome	Alaska-Nome				GA EDISON	0.904	0.579					
Alaska	North Slope	Alaska-North Slope			2.5	GA JESUP	0.887	0.560					
Alaska	Northwest Arctic	Alaska-Northwest Arctic				GA MACON LEWIS B WILSON	0.903	0.606					
Alaska	Prince of Wales-Outer Ketchikan	Alaska-Prince of Wales-Outer Ketchikan			2.5	GA SAVANNAH INTL AP	0.922	0.500					
Alaska	Sitka	Alaska-Sitka				HI HILO WSO AP 87	0.894	0.559					
Alaska	Skagway-Yakutat-Angoon	Alaska-Skagway-Yakutat-Angoon			2.5	HI HONOLULU WSFO AP 703	0.803	0.194					
Alaska	Southeast Fairbanks	Alaska-Southeast Fairbanks				HI KAHULUI WSO AP 398	0.774	0.197					
Alaska	Valdez-Cordova	Alaska-Valdez-Cordova			57.273	HI KANALOHULUHULU 1075	0.877	0.408					
Alaska	Wade Hampton	Alaska-Wade Hampton				HI KEAIWA CAMP 22.1	0.892	0.509					
Alaska	Wrangell-Petersburg	Alaska-Wrangell-Petersburg			2.5	HI KUALAPUU 534	0.839	0.372					
Alaska	Yukon-Koyukuk	Alaska-Yukon-Koyukuk			2.5	HI LALAMILO FLD OF 191.	0.779	0.306					
Arizona	Apache	Arizona-Apache	13.22	53.7	1.391	HI LIHUE WSO AP 1020.1	0.764	0.201	38.4	0.24	0.26	0.24	1.00
Arizona	Cochise	Arizona-Cochise	16.09	48.1	1.14	HI PAAKEA 350	0.946	0.687	85.5	0.22	0.84	0.17	1.00
Arizona	Coconino	Arizona-Coconino	14.41	52.2	0.822	HI PUNALUU PUMP 905.2	0.842	0.410	34.7	0.20	1.26	0.29	1.00
Arizona	Gila	Arizona-Gila	21.36	59.1	2.583	IA CENTERVILLE	0.873	0.523	71.6	0.18	1.85	0.09	1.00
Arizona	Graham	Arizona-Graham	16.1	53.6	0.867	IA DES MOINES AP	0.871	0.403	61.9	0.16	2.83	0.15	1.00
Arizona	Greenlee	Arizona-Greenlee	19.32	58.6	1.133	IA IRWIN 3 ESE	0.844	0.422	58.9	0.15	2.67	0.15	1.00
Arizona	La Paz	Arizona-La Paz	7.83	31.7	0.15	IA LARRABEE	0.858	0.453	46.9	0.22	0.53	0.36	1.00
Arizona	Maricopa	Arizona-Maricopa	10.15	38.6	0.76	IA LENOX	0.845	0.460	42.1	0.24	0.64	0.27	1.00
Arizona	Mohave	Arizona-Mohave	10.25	42.1	0.364	IA MCGREGOR	0.843	0.476	45.6	0.15	1.27	0.20	1.00
Arizona	Navajo	Arizona-Navajo	12.02	49.8	1.887	IA MOUNT PLEASANT 1 SSW	0.856	0.501	37.1	0.22	0.57	0.27	1.00
Arizona	Pima	Arizona-Pima	12.5	45	0.717	IA SIOUX CITY AP	0.840	0.349	96.4	0.19	0.63	0.28	1.00
Arizona	Pinal	Arizona-Pinal	12.34	45.3	0.6	IA ST ANSGAR	0.830	0.465	65.7	0.21	2.26	0.27	1.00
Arizona	Santa Cruz	Arizona-Santa Cruz	19.39	60.2	0.5	IA WATERLOO WSO AP	0.865	0.402	97.1	0.17	1.96	0.15	1.00
Arizona	Yavapai	Arizona-Yavapai	16.86	46.6	1.222	ID BOISE WSFO AIRPORT	0.600	0.218	59.4	0.20	0.97	0.22	1.00
Arizona	Yuma	Arizona-Yuma	6.42	29.5	0.822	ID CALDER	0.728	0.416	39.3	0.30	0.15	0.32	1.00
Arkansas	Arkansas	Arkansas-Arkansas	57.75	96.3	18	ID CASCADE 1 NW	0.635	0.326	300.0	0.45	0.11	0.24	1.00
Arkansas	Ashley	Arkansas-Ashley	60	85.1	15.667	ID FENN RANGER STATION	0.746	0.432	325.0	0.43	0.11	0.27	1.00
Arkansas	Baxter	Arkansas-Baxter	45	84.7	14.5	ID GOODING 1 S	0.544	0.246	275.0	0.27	1.55	0.02	1.00
Arkansas	Benton	Arkansas-Benton	45	89.2	12	ID GRASMERE 3 S	0.541	0.228	275.0	0.32	0.71	0.02	1.00
Arkansas	Boone	Arkansas-Boone	45	88.4	14.5	ID LEADORE	0.442	0.168	275.0	0.29	2.04	0.02	1.00
Arkansas	Bradley	Arkansas-Bradley	60	96.1	15	ID POCATELLO WSO AP	0.592	0.189	325.0	0.36	0.28	0.06	1.00
Arkansas	Calhoun	Arkansas-Calhoun	60	97.8	15	ID SANDPOINT EXP STATIO	0.766	0.430	325.0	0.35	0.12	0.03	1.00
Arkansas	Carroll	Arkansas-Carroll	45	83	14.5	ID TETONIA EXPERIMENT S	0.554	0.252	275.0	0.26	1.30	0.01	1.00
Arkansas	Chicot	Arkansas-Chicot	60	90.5	18	IL AUGUSTA	0.855	0.489	325.0	0.36	0.11	0.29	1.00
Arkansas	Clark	Arkansas-Clark	60	90.5	19	IL BELLEVILLE SIU RESEA	0.862	0.514	300.3	0.30	0.36	0.11	1.00
Arkansas	Clay	Arkansas-Clay	45.19	92.9	17	IL CHICAGO MIDWAY AP 3	0.847	0.431	275.0	0.41	0.14	0.20	1.00
Arkansas	Cleburne	Arkansas-Cleburne	59.63	96.5	18	IL MOLINE WSO AP	0.879	0.424	275.0	0.23	0.53	0.05	1.00
Arkansas	Cleveland	Arkansas-Cleveland	60	97.8	16	IL MURPHYSBORO 2 SW	0.873	0.534	325.0	0.34	0.25	0.03	1.00
Arkansas	Columbia	Arkansas-Columbia	57.54	93.5	12	IL NEWTON 6 SSE	0.862	0.511	325.0	0.31	0.40	0.02	1.00
Arkansas	Conway	Arkansas-Conway	47.93	83.1	20	IL PEORIA WSO AIRPORT	0.872	0.411	275.0	0.30	0.36	0.08	1.00
Arkansas	Craighead	Arkansas-Craighead	45	89.5	17	IL PIPER CITY	0.838	0.477	276.1	0.44	0.15	0.21	1.00
Arkansas	Crawford	Arkansas-Crawford	48.01	85.2	15.333	IL ROCKFORD WSO AP	0.862	0.381	275.0	0.31	0.60	0.13	1.00
Arkansas	Crittenden	Arkansas-Crittenden	58.98	95.4	16	IL SPRINGFIELD WSO AP	0.872	0.414	275.0	0.34	0.12	0.34	1.00
Arkansas	Cross	Arkansas-Cross	47.45	83	18	IN EVANSVILLE WSO AP	0.902	0.477	275.0	0.43	0.12	0.22	1.00
Arkansas	Dallas	Arkansas-Dallas	60	90.5	17	IN FORT WAYNE WSO AP	0.842	0.382	325.0	0.34	0.21	0.01	1.00
Arkansas	Desha	Arkansas-Desha	60	97.8	18	IN INDIANAPOLIS WSFO AP	0.870	0.417	325.0	0.35	0.12	0.32	1.00
Arkansas	Drew	Arkansas-Drew	60	95.9	15.5	IN PERU WASTE WATER PLA	0.817	0.461	325.0	0.42	0.13	0.20	1.00
Arkansas	Faulkner	Arkansas-Faulkner	50.62	88.9	21	IN RICHMOND WTR WKS	0.828	0.488	275.0	0.32	0.46	0.03	1.00
Arkansas	Franklin	Arkansas-Franklin	45.77	83.2	15.75	IN SHOALS HIWAY 50 BRID	0.866	0.504	275.0	0.31	0.53	0.07	1.00
Arkansas	Fulton	Arkansas-Fulton	45	83	15	IN SOUTH BEND WSO AP	0.837	0.366	275.0	0.29	0.73	0.03	1.00
Arkansas	Garland	Arkansas-Garland	60	97	18	IN VALPARAISO WATERWORK	0.809	0.447	300.0	0.29	0.85	0.01	1.00
Arkansas	Grant	Arkansas-Grant	60	97.8	18	IN VERSAILLES WATERWORK	0.859	0.502	300.0	0.33	0.22	0.03	1.00
Arkansas	Greene	Arkansas-Greene	46.4	97.4	17.333	IN WEST LAFAYETTE 6 NW	0.833	0.481	275.0	0.42	0.17	0.23	1.00
Arkansas	Hempstead	Arkansas-Hempstead	59.76	94.1	16.6	KS BIG BOW 4 WSW	0.804	0.421	325.0	0.31	0.32	0.03	1.00
Arkansas	Hot Spring	Arkansas-Hot Spring	60	97.7	20	KS COLLYER 10 S	0.810	0.395	300.4	0.27	0.41	0.02	1.00
Arkansas	Howard	Arkansas-Howard	60	95.7	20	KS COLUMBUS 1 SW	0.900	0.537	300.0	0.29	0.47	0.03	1.00
Arkansas	Independence	Arkansas-Independence	45.31	90.8	16.333	KS CONCORDIA WSO ARPT	0.867	0.397	275.5	0.33	0.50	0.09	1.00
Arkansas	Izard	Arkansas-Izard	45	84	15	KS DODGE CITY WFO AP	0.856	0.375	275.0	0.26	1.66	0.02	1.00
Arkansas	Jackson	Arkansas-Jackson	45.38	84.6	16	KS FALL RIVER LAKE	0.886	0.498	275.0	0.39	0.09	0.25	1.00
Arkansas	Jefferson	Arkansas-Jefferson	58.97	97.8	18	KS GOODLAND WFO	0.825	0.327	300.0	0.36	0.08	0.28	1.00
Arkansas	Johnson	Arkansas-Johnson	45	80.7	18	KS PHILLIPSBURG 1 SSE	0.798	0.403	275.0	0.25	0.51	0.03	1.00
Arkansas	Lafayette	Arkansas-Lafayette	52.27	83	13.2	KS TOPEKA WSFO AIRPORT	0.887	0.423	325.0	0.36	0.14	0.13	0.98
Arkansas	Lawrence	Arkansas-Lawrence	45	83.5	15.5	KS WICHITA WSO ARPT	0.883	0.418	274.9	0.37	0.14	0.20	1.00
Arkansas	Lee	Arkansas-Lee	60	89.7	18	KY BUCKHORN LAKE	0.885	0.531	300.0	0.43	0.11	0.27	1.00
Arkansas	Lincoln	Arkansas-Lincoln	60	97.8	17	KY CLINTON 4 S	0.884	0.555	300.0	0.37	0.11	0.28	1.00
Arkansas	Little River	Arkansas-Little River	49.9	83	16.25	KY COVINGTON WSO AIRPOR	0.871	0.437	300.3	0.37	0.15	0.17	1.00
Arkansas	Logan	Arkansas-Logan	45.86	84.8	15	KY HODGENVILLE-LINCOLN	0.876	0.537	300.0	0.34	0.58	0.07	1.00
Arkansas	Lonoke	Arkansas-Lonoke	46.7	90.4	18	KY LEXINGTON WSO AIRPOR	0.889	0.465	300.0	0.43	0.14	0.20	1.00
Arkansas	Madison	Arkansas-Madison	45.45	83.4	15.75	KY LOUISA 2 S	0.840	0.499	275.0	0.25	1.30	0.01	1.00
Arkansas	Marion	Arkansas-Marion	45	86.8	14.5	KY LOUISVILLE WSFO AP	0.895	0.472	275.0	0.27	1.71	0.03	1.00
Arkansas	Miller	Arkansas-Miller	45.51	83	12.8	KY PADUCAH WALKER BOAT	0.888	0.552	325.0	0.34	0.19	0.17	1.00
Arkansas	Mississippi	Arkansas-Mississippi	50.31	97.8	18	KY SOMERSET 2 NE	0.863	0.526	275.0	0.33	0.09	0.38	1.00
Arkansas	Monroe	Arkansas-Monroe	56.35	84.5	15	KY WOODBURY	0.886	0.528	300.0	0.43	0.09	0.26	1.00
Arkansas	Montgomery	Arkansas-Montgomery	60	93.9	20	LA ALEXANDRIA	0.912	0.572	298.4	0.27	0.55	0.02	1.00
Arkansas	Nevada	Arkansas-Nevada	60	90.9	15.75	LA BATON ROUGE WSO AP	0.942	0.548	325.0	0.30	0.39	0.04	1.00
Arkansas	Newton	Arkansas-Newton	45	83	17	LA CALHOUN RESEARCH STN	0.919	0.580	275.0	0.24	1.49	0.03	1.00
Arkansas	Ouachita	Arkansas-Ouachita	60	92.5	15	LA LAFAYETTE	0.918	0.577	325.0	0.31	0.16	0.06	1.00
Arkansas	Perry	Arkansas-Perry	50.06	88.9	19	LA LAKE CHARLES AP	0.927	0.626	300.0	0.32	0.28	0.03	0.99
Arkansas	Phillips	Arkansas-Phillips	60	96.1	15.5	LA MORGAN CITY	0.921	0.599	300.0	0.41	0.10	0.28	1.00
Arkansas	Pike	Arkansas-Pike	60	91.9	21	LA NATCHITOCHES	0.910	0.576	297.2	0.24	0.75	0.03	1.00
Arkansas	Poinsett	Arkansas-Poinsett	45	85.5	18	LA NEW ORLEANS WSCMO AR	0.933	0.647	275.0	0.41	0.10	0.25	1.00
Arkansas	Polk	Arkansas-Polk	60	97.2	21	LA SHREVEPORT AP	0.918	0.612	300.0	0.25	0.84	0.03	1.00
Arkansas	Pope	Arkansas-Pope	46.6	82.1	19	LA WINNSBORO 5 SSE	0.912	0.586	275.0	0.31	0.39	0.06	1.00
Arkansas	Prairie	Arkansas-Prairie	54.47	86.7	18	MA BIRCH HILL DAM	0.880	0.491	300.0	0.47	0.13	0.23	1.00
Arkansas	Pulaski	Arkansas-Pulaski	52.14	92.5	19	MA BOSTON LOGAN INTL AP	0.884	0.439	300.0	0.32	0.25	0.13	1.00
Arkansas	Randolph	Arkansas-Randolph	45	90.2	12	MA BRIDGEWATER	0.863	0.517	275.0	0.34	0.51	0.08	1.00
Arkansas	Saline	Arkansas-Saline	60	96.6	18	MA HYANNIS	0.901	0.530	275.0	0.42	0.14	0.28	1.00
Arkansas	Scott	Arkansas-Scott	52.7	83.9	15.75	MA KNIGHTVILLE DAM	0.893	0.502	300.0	0.31	0.44	0.05	1.00
Arkansas	Searcy	Arkansas-Searcy	46	83.1	17	MA NEW BEDFORD	0.904	0.477	300.0	0.35	0.39	0.02	1.00
Arkansas	Sebastian	Arkansas-Sebastian	45.04	79.9	14.8	MA PROVINCETOWN	0.873	0.515	275.0	0.29	1.35	0.02	1.00
Arkansas	Sevier	Arkansas-Sevier	60	84.5	20	MA WORCESTER MUNI AP	0.895	0.445	275.0	0.34	0.48	0.06	1.00
Arkansas	Sharp	Arkansas-Sharp	45	83	15	MD BALT-WASHGTN INTL AP	0.891	0.458	300.0	0.30	0.40	0.03	1.00
Arkansas	St. Francis	Arkansas-St. Francis	59.87	84.3	18	MD BELTSVILLE	0.878	0.559	275.0	0.27	0.64	0.04	1.00
Arkansas	Stone	Arkansas-Stone	50.63	88.9	16.333	MD HANCOCK	0.828	0.459	275.0	0.27	0.63	0.02	1.00
Arkansas	Union	Arkansas-Union	60	93.9	14.5	MD SAVAGE RIVER DAM	0.802	0.425	325.0	0.32	0.30	0.32	1.00
Arkansas	Van Buren	Arkansas-Van Buren	59.42	84.2	21	MD UNIONVILLE	0.850	0.512	275.0	0.24	0.82	0.02	1.00
Arkansas	Washington	Arkansas-Washington	47	86.5	14.75	ME AUGUSTA	0.853	0.504	275.0	0.31	0.42	0.02	1.00
Arkansas	White	Arkansas-White	59.26	90.8	19	ME CARIBOU MUNI ARPT	0.800	0.344	275.0	0.37	0.22	0.11	1.00
Arkansas	Woodruff	Arkansas-Woodruff	54.35	83	18	ME CLAYTON LAKE	0.776	0.394	275.0	0.38	0.11	0.28	1.00
Arkansas	Yell	Arkansas-Yell	49.95	85.4	16.2	ME EASTPORT	0.856	0.483	300.0	0.33	0.23	0.05	1.00
California	Alameda	California-Alameda	19.05	47.2	3.5	ME GRAND LAKE STREAM	0.856	0.493	30.6	0.30	5.25	0.09	1.00
California	Alpine	California-Alpine	47.83	85.5	15.2	ME MILLINOCKET	0.823	0.464	89.1	0.17	4.82	0.15	1.00
California	Amador	California-Amador	35.39	62.8	17.5	ME ORONO 2	0.847	0.518	46.6	0.25	6.20	0.06	1.00
California	Butte	California-Butte	45.98	64.6	16.444	ME PORTLAND INTL JETPRT	0.890	0.437	74.8	0.26	0.84	0.19	1.00
California	Calaveras	California-Calaveras	35.83	59.1	15	ME ROCKLAND 1 W	0.870	0.530	50.2	0.27	2.40	0.02	1.00
California	Colusa	California-Colusa	20.28	46.4	8.833	ME SKOWHEGAN	0.835	0.486	32.9	0.30	3.15	0.14	1.00
California	Contra Costa	California-Contra Costa	18.51	45.9	2.667	MI ALPENA WSO AIRPORT	0.773	0.294	33.8	0.27	7.90	0.06	1.00
California	Del Norte	California-Del Norte	89.25	132.5	78.75	MI BERRIEN SPRINGS 5 W	0.793	0.401	210.7	0.23	0.16	0.07	1.00
California	El Dorado	California-El Dorado	44.28	69.3	25	MI DETROIT CITY AIRPORT	0.813	0.410	72.1	0.22	5.63	0.03	1.00
California	Fresno	California-Fresno	20.72	53.1	9.583	MI FLINT WSCMO	0.812	0.342	17.0	0.34	2.24	0.35	1.00
California	Glenn	California-Glenn	24.39	52	11.143	MI GRAND RAPIDS WSFO	0.833	0.349	58.1	0.29	2.30	0.27	1.00
California	Humboldt	California-Humboldt	67.87	108.9	49.286	MI HANCOCK MCLAIN ST PK	0.708	0.331	157.6	0.27	3.67	0.03	1.00
California	Imperial	California-Imperial	5.1	29.5	3.41	MI LANSING WSO AIRPORT	0.803	0.318	11.3	0.34	1.94	0.35	1.00
California	Inyo	California-Inyo	8.31	33.5	3.41	MI MUSKEGON WSO AIRPORT	0.800	0.326	18.4	0.30	1.01	0.23	1.00
California	Kern	California-Kern	10.53	38.3	2.23	MI SAULT STE MARIE WSO	0.769	0.317	19.1	0.31	3.48	0.17	1.00
California	Kings	California-Kings	8.63	44.7	1.167	MI TRAVERSE CITY	0.716	0.346	10.7	0.35	1.18	0.26	1.00
California	Lake	California-Lake	41.91	72.1	23.571	MN DULUTH WSO AP	0.808	0.299	85.5	0.27	3.56	0.08	1.00
