 Watershed,N Load (no BMP),N Reduction,N Load (with BMP),	 %N Reduction,P Load (no BMP), P Reduction, P Load (with BMP),%P Reduction, BOD Load (no BMP),BOD Reduction,BOD (with BMP),%BOD Reduction,Sediment Load (no BMP),Sediment Reduction,Sediment Load (with BMP),%Sed Reduction

1,66.42555,0.0000000,66.42555,0.0000000,26.08486,0.0000000,26.08486,0.0000000,124.5992,0.0000000,124.5992,0.0000000,2.078915,0.0000000,2.078915,0.0000000
Total,66.42555,0.0000000,66.42555,0.0000000,26.08486,0.0000000,26.08486,0.0000000,124.5992,0.0000000,124.5992,0.0000000,2.078915,0.0000000,2.078915,0.0000000


----
Unit is "ton/year" for sediment and is "lb/year" for the others.
