 Watershed,N Load (no BMP),N Reduction,N Load (with BMP),	 %N Reduction,P Load (no BMP), P Reduction, P Load (with BMP),%P Reduction, BOD Load (no BMP),BOD Reduction,BOD (with BMP),%BOD Reduction,Sediment Load (no BMP),Sediment Reduction,Sediment Load (with BMP),%Sed Reduction

1,78.14304,12.54537,65.59768,16.05436,9.858149,4.737523,5.120625,48.05692,39.23234,24.28455,14.94779,61.89932,5.837633,3.794461,2.043172,65.00000
Total,78.14304,12.54537,65.59768,16.05436,9.858149,4.737523,5.120625,48.05692,39.23234,24.28455,14.94779,61.89932,5.837633,3.794461,2.043172,65.00000


----
Unit is "ton/year" for sediment and is "lb/year" for the others.
