 Watershed,N Load (no BMP),N Reduction,N Load (with BMP),	 %N Reduction,P Load (no BMP), P Reduction, P Load (with BMP),%P Reduction, BOD Load (no BMP),BOD Reduction,BOD (with BMP),%BOD Reduction,Sediment Load (no BMP),Sediment Reduction,Sediment Load (with BMP),%Sed Reduction

1,408.6956,13.07753,395.6180,3.199821,85.83615,2.179588,83.65656,2.539243,1177.985,0.0000000,1177.985,0.0000000,33.42294,0.2433874,33.17955,0.7282045
Total,408.6956,13.07753,395.6180,3.199821,85.83615,2.179588,83.65656,2.539243,1177.985,0.0000000,1177.985,0.0000000,33.42294,0.2433874,33.17955,0.7282045


----
Unit is "ton/year" for sediment and is "lb/year" for the others.
